Date,Level
2022/01/01 ,0.29385749385749400
2022/01/05 ,0.30918918918918900
2022/01/08 ,0.32835380835380800
2022/01/20 ,0.34879606879606900
2022/02/12 ,0.36668304668304700
2022/02/25 ,0.3717936117936120
2022/03/15 ,0.3781818181818180
2022/04/02 ,0.38201474201474200
2022/04/12 ,0.38329238329238300
2022/04/30 ,0.3986240786240790
2022/05/20 ,0.4024570024570030
2022/06/08 ,0.3999017199017200
2022/07/05 ,0.3884029484029490
2022/06/23 ,0.39479115479115500
2022/07/22 ,0.3769041769041770
2022/08/08 ,0.36412776412776400
2022/08/28 ,0.35135135135135200
2022/09/20 ,0.3372972972972980
2022/10/01 ,0.3334643734643740
2022/10/17 ,0.3206879606879610
2022/11/05 ,0.30791154791154800
2022/11/20 ,0.30918918918918900
2022/12/03 ,0.30918918918918900
2022/12/12 ,0.316855036855037
2022/12/27 ,0.3181326781326780
2023/01/01 ,0.3385749385749390
2023/01/05 ,0.35007371007371000
2023/01/07 ,0.3884029484029490
2023/01/10 ,0.4280098280098280
2023/01/12 ,0.4765601965601970
2023/01/16 ,0.5200000000000000